User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Fight 2 Survive,Fight2Survive22,2022-08-14,bbccom cost of living army veteran goes hungry for week to raise awareness prabhdeep singh says he is not eating for a week as a symbolic warning about what people face,0.0,0.0,0.0
ANEEJ,aneejnigeria,2022-08-12,big oil companies are the only ones who benefit from this crisis and they continue to cash in recordhigh profits while people struggle to pay for their food and their assurance ovie and 4 others,0.0,0.0,0.0
Coco,Coco4Climate,2022-09-01,call climate change what it is violence rebecca solnit theguardiancom call climate change what it is violence rebecca solnit rebecca solnit social unrest and famine superstorms and droughts places species and human beings none will be spared welcome to occupy earth,0.0,0.0,0.0
'Nick D',NickD_Lincs,2022-09-16,cc european commission sep 16 2022 eu official organization the current electricity market design is not doing justice to consumers anymore we have to decouple the dominant influence of gas on the electricity price this is why we will do a comprehensive reform of the electricity market president speech,0.0,0.0,0.0
Parma Violet,gratuitousviole,2022-08-26,clearly not fit for purpose record profits record profits record profits,0.0,0.0,0.0
"#ThinkingOutSideTheBox",redeader,2022-09-02,closed for rebuilding work humm no 1,0.0,1.0,0.0
"#Justis4u",Justis4u3,2022-09-08,contributes 100 to campaign bid to become and in return she gives and other companies 130billion and puts up our prices by 100 from where it was 6 months ago jon jones sep 8 2022 that 100k donation to liz truss leadership campaign by the wife of a former bp executive is already looking like an excellent investment,0.0,0.0,0.0
RAW Foundation,RawfoundationUK,2022-08-22,culprits et al al jazeera english aug 20 2022 drought has devastated the iraqi marshlands known as the garden of eden putting wildlife and peoples livelihoods at risk 4,0.0,0.0,4.0
RAW Foundation,RawfoundationUK,2022-08-22,culprits et al bbccouk europe storms children among dead in france austria and italy at least 12 people including three children have died in violent storms after weeks of heat and drought 1 1,0.0,1.0,1.0
RAW Foundation,RawfoundationUK,2022-08-24,culprits jim baird aug 24 2022 with chinas biggest freshwater lake reduced to just 25 of its usual size by a severe drought work crews are digging trenches to keep water flowing to one of the countrys key ricegrowing regions 1,0.0,0.0,1.0
RAW Foundation,RawfoundationUK,2022-08-21,culprits licypriya kangujam aug 20 2022 19 dead 5 missing after flash floods landslides in himachal pradesh himachal pradesh odisha are facing flash floods meanwhile bihar is facing severe drought currently this is climate crisis but global media will not tell you because its in global south 1,0.0,0.0,1.0
RAW Foundation,RawfoundationUK,2022-08-23,culprits physorg fastwarming ailing med sea may be a sign of things to come while vacationers might enjoy the mediterranean seas summer warmth climate scientists are warning of dire consequences for its marine life as it burns up in a series of severe heat waves 1 2,0.0,1.0,2.0
Thomas,tedwardfawcett,2022-08-23,etc have an answer at all stefan hohmann aug 22 2022 brent crude drops down to 95 why arent pump prices back to 130ltr ripped off,0.0,0.0,0.0
Warwick for Wilding #NatureFirst,warwicklobban,2022-08-14,fossil fuel corporations have stolen everything from us never mind the insanity that they still operate how is it right or fair that these are not in jail as yet bbccouk we are waiting for rain for winter for god fighting a megafire in france on the frontline of the wildfires in france is a tactical team trying to stay ahead of the flames,0.0,0.0,0.0
Andrea Dalziel,DalzielAndrea,2022-08-22,had a parcel delivered to your victoria road ruislip garage from ebay the tracking info says its been delivered staff are saying it hasnt and that they dont receive parcels from who do i speak to so i can get my products,0.0,0.0,0.0
Microsoft Business UK,MSFTBusinessUK,2022-08-22,has big ambitions to transition to carbon net zero and its using microsoft to help it get there find out how 023 4848 views 1 2,0.0,1.0,2.0
2iQ,2iqresearch,2022-09-13,has showed a lot of momentum after strong q2 results two board members at the company have invested 200 in bp stock 2iqresearchcom bp sees two insider purchases in august two insiders at bp plc bpln bought stock in august is this insider trading activity a bullish signal,0.0,0.0,0.0
European Diversity Awards,diversityaward,2022-09-06,have been shortlisted for the diversity in tech award 2,0.0,0.0,2.0
KaliConsumer,KaliConsumer,2022-09-01,headed to at least their new rewards program just uses your phone number and keeps track of all transactions,0.0,0.0,0.0
Jon Allan,jonallan01,2022-09-07,hi there is there anyway that i can get a reprint of a receipt from a recent fuel service station to support my fuel claim at work my receipt is very faded 1,1.0,0.0,0.0
Singh Is king,SinghIs97729933,2022-09-09,hii whats actionno anyone of your team called me whats my complaint status,0.0,0.0,0.0
Jak Leigh,jak_leigh,2022-09-13,how come can sell fuel 4p a litre cheaper,0.0,0.0,0.0
"#Justis4u",Justis4u3,2022-09-08,i am not praying or hiring a black suit i will do so when the thousands die as a result of increasing their bills by 400 only to hand over the money to the companies because gave 100 for her campaign,0.0,0.0,0.0
Lord Sedegepig,Lord_Sedgepig,2022-08-14,i am shoving money as fast as i can into bernard looneys cash machine come winter i will be at it day and night enjoy my money,0.0,0.0,0.0
UnitedPatriots,Patriots5United,2022-08-26,is a disgrace give us your profits bunch of thieves,0.0,0.0,0.0
energate messenger english edition,energate_en,2022-09-05,is changing the management personnel of its german subsidiary wendeler currently chairman of the board of is to take over as chairman of the board of bp europa se on 1 december he will succeed wolfgang langhoff,0.0,0.0,0.0
ADIPEC,ADIPECOfficial,2022-09-12,is proud to confirm as partner and confirmed exhibitor 1 2,1.0,0.0,2.0
ADIPEC,ADIPECOfficial,2022-09-12,is the global platform for leaders and energy companies like convene to reinforce strategies and commitments that will drive the industry towards reducing emissions meeting decarbonisation goals and providing a realistic view on short and longterm outlooks 1,1.0,0.0,0.0
