,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
Unnamed: 2_level_0,Unnamed: 2_level_1,BP/ LN Equity,STERV FH Equity,IP US Equity,UPM FH Equity,NEM US Equity,XOM US Equity,VLO US Equity,NUE US Equity,ABX CT Equity,FMC US Equity,FCX US Equity,TTE FP Equity,COP US Equity,ADM US Equity,PKX US Equity,BHP US Equity,TECK/B CT Equity,RIO US Equity,WIL SP Equity,MNDI LN Equity,AAL LN Equity,CVE CT Equity,ALA CT Equity,WLK US Equity,GLEN LN Equity,MOS US Equity,MPC US Equity,PSX US Equity,WY US Equity,ET US Equity,VNOM UW Equity,SUN US Equity,WRK US Equity,PBA US Equity,AA US Equity,MTS SQ Equity,NTR CT Equity,NTR US Equity,DOW US Equity,CTVA US Equity,OXY US Equity,OKE US Equity,CVX US Equity,PXD US Equity,TRGP US Equity,SLB US Equity,BKR US Equity,DVN US Equity,HES US Equity,MRO US Equity,WMB US Equity,CTRA US Equity,APA US Equity,EOG US Equity,KMI US Equity,EQT US Equity,HAL US Equity,FANG US Equity,S5ENRS Index
Unnamed: 3_level_0,Unnamed: 3_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30 00:00:00,2017-10-31 00:00:00,5.919372,10.90907,0.7919747,11.03876,-3.59904,1.671139,2.547771,3.194147,-10.14396,3.974919,-0.4273504,3.95282,2.746029,-3.857916,5.158502,1.110289,-2.87067,1.568129,6.134326,-10.00426,5.044182,-3.124919,-0.3440193,2.190396,5.173638,3.47383,6.526391,-0.5785394,5.524537,2.128884,5.150215,-0.4180064,8.108584,-5.371251,2.488203,11.47238,,,,,0.5606604,-2.05739,-1.370213,1.443676,-10.33827,-8.256881,-14.17258,0.5175701,-5.822137,4.867257,-5.031656,3.551402,-9.12874,3.413359,-4.926647,-4.138565,-7.147512,9.391588,-0.6629569
2017-10-31 00:00:00,2017-11-30 00:00:00,-0.9887367,-2.246577,-0.2882247,0.06821213,2.295354,0.855728,9.456333,-0.5706381,-4.224525,1.658411,-0.4291846,1.094549,-0.5278592,-1.620855,4.466977,1.390922,12.40823,-0.06259128,-7.029782,-1.295975,-2.59411,-1.787649,0.3155098,15.58994,-4.782853,8.728738,5.5195,7.925572,-0.5847953,-7.242414,8.797892,-2.612374,2.502236,5.840367,-13.12265,5.215512,,,,,9.183831,-3.013843,3.642821,4.25603,4.578313,-1.796875,-4.862777,4.417344,3.894928,4.711674,1.929825,4.700338,1.111917,2.453189,-4.859194,-4.657615,-2.24614,2.006346,1.762193
2017-11-30 00:00:00,2017-12-31 00:00:00,6.988426,3.931891,2.349408,3.580244,1.644609,0.4202185,7.346415,11.22698,5.066067,0.4495863,36.2069,-0.479549,7.881289,0.5015045,3.542466,10.68592,15.92949,10.50104,-0.05755131,9.46456,14.14426,-3.453332,1.138093,8.781783,14.96851,5.752996,5.348875,3.679787,-0.3391747,6.54321,11.20114,-3.269755,1.281846,4.196638,29.77596,7.912147,,,,,5.650432,2.986512,5.210522,10.77288,11.56682,8.068493,6.424487,7.618397,4.061562,14.08356,6.062945,-1.208981,0.9323452,5.463253,4.875217,-4.496644,17.45519,15.49721,4.883477
2017-12-31 00:00:00,2018-01-31 00:00:00,0.546154,7.955951,8.491543,8.171395,7.969083,4.375897,4.417365,5.316137,-1.036262,-3.517853,2.848101,4.592249,7.141556,7.160679,14.52707,6.588389,10.52331,6.007935,5.525747,1.94726,15.64913,3.91979,-1.407876,5.697926,8.564466,6.391271,4.98636,1.235788,6.466251,6.025493,3.686241,12.35915,5.410536,-5.328564,-3.434193,11.31099,-5.292932,-4.401826,,,1.778441,11.53131,0.1278057,5.820075,1.011979,9.185339,1.611884,-0.07246377,6.404045,7.44241,2.951787,-7.672212,6.85361,6.727716,0.1842047,-4.62052,9.883364,-0.5940594,3.81178
2018-01-31 00:00:00,2018-02-28 00:00:00,-6.449286,3.713166,-4.425673,2.290289,-5.702296,-12.36014,-4.934638,-2.329749,-19.47323,-14.06986,-4.615385,-0.9528579,-7.145815,-2.578592,-8.091193,-5.140759,-1.226004,-2.495099,0.06024694,-1.518583,1.282407,-23.45147,-7.240587,-3.674384,-6.989878,-3.498168,-6.879177,-11.07649,-6.686202,-13.80988,-4.639404,-6.876271,-0.6519122,-5.391777,-13.55248,-4.757159,-5.805716,-5.903707,,,-12.49833,-4.298335,-9.825346,-6.932371,-6.979167,-10.1631,-17.40888,-25.86415,-10.07721,-19.92411,-11.56419,-8.311195,-23.89124,-11.8087,-9.899889,-7.272312,-13.5568,-0.685259,-10.81908
2018-02-28 00:00:00,2018-03-31 00:00:00,2.560396,5.921066,-10.33731,7.340285,2.657297,-1.491946,2.598983,-5.991837,7.835187,-2.213547,-5.537634,0.198236,9.169582,4.455684,-3.690351,-2.10031,-10.09546,-2.571191,-0.6014781,2.377983,-3.070941,17.19057,-9.708254,2.669499,-6.883806,-7.75076,14.12738,6.141418,0.844877,-8.32258,12.33422,-11.79115,-2.417883,-2.366103,-0.02223705,-8.457682,-3.264714,-3.202719,,,0.2354573,1.047399,1.89421,1.006913,-1.455767,-1.310177,5.189394,3.84243,12.01755,11.08815,-9.325208,-0.7450331,12.67936,3.796095,-7.037037,-5.565494,1.516584,1.508344,1.661498
2018-03-31 00:00:00,2018-04-30 00:00:00,10.24053,8.415009,-3.499906,0.9581943,0.5630919,4.208551,19.57529,0.8675724,8.309953,4.126943,-13.18963,11.68666,10.47394,4.63454,7.609385,5.221697,-2.279971,6.63691,1.501176,3.89432,1.063704,17.93264,5.206822,-3.760684,-0.7698936,10.99671,2.462044,16.04462,5.085714,11.1893,15.24078,7.879263,-7.807386,2.472309,13.879,7.775144,-3.430895,-3.660601,,,18.93473,7.202238,9.70712,17.33031,8.818182,5.835135,30.03241,14.28122,12.58396,13.14321,3.499598,-0.2919099,7.06077,12.44126,6.363678,5.640918,12.88879,1.52545,9.356527
2018-04-30 00:00:00,2018-05-31 00:00:00,4.804592,2.725725,4.665303,2.068292,-0.9162637,5.542889,10.01821,4.170724,-1.99537,9.231155,11.11111,-4.069478,3.307765,-2.933054,-6.977018,6.481283,8.018588,3.184713,0.3986283,6.203243,1.531195,5.300774,2.522817,8.381883,2.450087,2.003711,6.127828,5.349448,1.495378,11.41478,13.125,-0.3724226,0.2592729,9.608796,-6.11328125,-4.969603,11.11481,11.24533,,,8.982656,13.18499,0.2121007,-4.192508,3.534171,0.1604434,-3.734235,14.42334,6.0186,17.70069,4.391761,-4.186136,-2.319902,-0.3046458,5.436157,2.749424,-6.133233,-5.899444,3.039924
