,ALTAGAS LTD,FMC CORP,STORA ENSO,WEYERHAEUSER CO,BHP GROUP,INTERNATIONAL PAPER CO,S&P 500 ENERGY INDEX,WILMAR INTERNATIONAL LTD,TOTALENERGIES SE,BP PLC,ALTAGAS LTD_cumulative_sum,FMC CORP_cumulative_sum,STORA ENSO_cumulative_sum,WEYERHAEUSER CO_cumulative_sum,BHP GROUP_cumulative_sum,INTERNATIONAL PAPER CO_cumulative_sum,S&P 500 ENERGY INDEX_cumulative_sum,WILMAR INTERNATIONAL LTD_cumulative_sum,TOTALENERGIES SE_cumulative_sum,BP PLC_cumulative_sum
2017-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11,-1.0,-0.4,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12,0.30000000000000004,0.034482758620689724,-0.1348314606741573,0.21739130434782616,0.0,0.3076923076923077,-0.16666666666666663,0.0,0.0,0.0,0.0030341427900000004,0.0003463778837931041,0.0,0.0021665396804347835,0.0,0.0031492125538461545,0.0,0.0,0.0,0.0
2018-01,0.24137931034482762,-0.2222222222222222,-0.09375,0.07692307692307687,0.0,0.11111111111111116,-0.5555555555555556,0.0,0.0,0.0,0.0024097241478737118,0.0,0.0,0.0008420374972803239,0.0,0.0012396278818090631,0.0,0.0,0.0,0.0
2018-02,-0.25,-0.32894736842105265,-0.014184397163120588,0.10126582278481022,0.0,-0.032258064516129004,-0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0009528072248575221,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,0.0,-0.4066666666666666,-0.07246376811594202,0.1439999999999999,0.0,0.016949152542372836,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.001461774801539546,0.0,0.00015197066101694875,0.0,0.004969926095,0.0,0.0
2018-04,0.4444444444444444,-0.3240223463687151,-0.07608695652173914,0.03157894736842115,0.0,0.016666666666666607,0.19999999999999996,0.19999999999999996,0.0,0.0,0.0046758587555555545,0.0,0.0,0.00034721078803059497,0.0,0.00016230000830733717,0.0021871305399999994,0.002080468854327558,0.0,0.0
2018-05,0.25,-0.26027397260273977,-0.1074380165289256,-0.12,0.0,-0.2222222222222222,0.0714285714285714,0.0,0.0,0.0,0.002611008646151367,0.0,0.0,0.0,0.0,0.0,0.0007585356336048247,2.0887621919535936e-05,0.0,0.0
2018-06,0.6000000000000001,-0.04878048780487809,0.07602339181286544,0.2975206611570247,0.0,0.1333333333333333,-0.23809523809523814,0.33333333333333326,0.0,0.0,0.006379828165350396,0.0,0.0007282531122807011,0.0029302609090909085,0.0,0.0012979439199999998,0.0,0.003093597608211634,0.0,0.0
2018-07,0.2272727272727273,-0.09722222222222221,0.03053435114503822,0.2847222222222223,0.0,0.13749999999999996,-1.0,0.33333333333333326,0.0,0.0,0.0023173324222321274,0.0,0.0002642938688157486,0.0026966434220848444,0.0,0.0014319534454321169,0.0,0.0034467935571530725,0.0,0.0
