User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Augusto Urteaga,@augustoub,2020-01-09T23:30:49.000Z,"Augusto Urteaga
@augustoub
·
Jan 10, 2020Replying to 
@NewmontCorp
It is a good information, congratulations
1",,1,
GST,@goldstocktrades,2020-01-09T23:24:42.000Z,"GST
@goldstocktrades
·
Jan 10, 2020Replying to 
@gdawg54
 @NewmontCorp
 and 
@TriumphGoldCorp
I’m studying it",,,
Newmont Corporation,@NewmontCorp,2020-01-09T22:59:19.000Z,"Newmont Corporation
@NewmontCorp
·
Jan 9, 2020#Newmont President and CEO, Tom Palmer, was featured on 
@CNBC
 to discuss Newmont’s unmatched portfolio and sector-leading dividend. Watch the full video interview here:  https://cnbc.com/video/2020/01/09/watch-cnbcs-full-interview-with-newmont-ceo-tom-palmer.html…
6
17",,6,17
Newmont Corporation,@NewmontCorp,2020-01-09T20:50:03.000Z,"Newmont Corporation
@NewmontCorp
·
Jan 9, 2020In 1939, #Newmont consolidated a number of mining claims in the Telluride and Ouray districts to form the Idarado Mining Company. Today, we work with the State of Colorado toward a shared goal of protecting the environment. https://newmontgoldcorp.com/celebrating-25-years-of-reclamation-and-partnership/…
2
3
13",2,3,13
long U bull,@gdawg54,2020-01-09T20:42:54.000Z,"long U bull
@gdawg54
·
Jan 9, 2020Replying to 
@goldstocktrades
 @NewmontCorp
 and 
@TriumphGoldCorp
Hi 
@goldstocktrades
 have you any thoughts on contact gold?they keep bombarding me with emails saying how great they are????
1
1",1,,1
GST,@goldstocktrades,2020-01-09T20:39:01.000Z,"GST
@goldstocktrades
·
Jan 9, 2020Great results awesome looking core! When will this stock finally get attention it deserves! Newmont staying in yukon? 
@NewmontCorp
 has shown commitment to #yukon $nem $tig.v $tigcf 
@TriumphGoldCorp
 please meet mngt in Vancouver
Triumph Gold Corp
@TriumphGoldCorp
·
Jan 7, 2020
Visit us at Cambridge House VRIC (Jan 20th 2-5pm, Invest Yukon Pavilion – Vancouver Convention Centre WEST) & at AME Roundup Core Shack (Jan 22 & 23, Booth 918 – Vancouver Convention Centre EAST) to see 2019 intersections from the Freegold Mtn Project $TIG $TIGCF #copper #gold
1
4
10",1,4,10
Albert,@Alberin15,2020-01-09T19:38:28.000Z,"Albert
@Alberin15
·
Jan 9, 2020Replying to 
@MineraYanacocha
Felicitaciones 
@NewmontCorp
 @MineraYanacocha
 @proactivoperu
 @iMineros
 @rumbominero
 @proactivoperu
 @PrimerPedal
 @yoni3556_luis
 @hjfuentesa
 @JulieRo02279354
 @GarraCrema52
 @BringasMelqui
 @erikagraci7
 @AmautasMineros
 @c_cornejop
 @boyd_carlo
 @maquena30
 @jcllaque
 @calin6364
 @Cuberbill
2
2",,2,2
Canadian Mining HoF,@CdnMHF,2020-01-09T19:29:27.000Z,"Canadian Mining HoF
@CdnMHF
·
Jan 9, 2020Ahead of this evening’s 32nd CMHF Annual Dinner and Induction Ceremony we’d like to thank our Sustaining Sponsors for their support! 
@Hecla
 @AgnicoEagle
 @HatchGlobal
 @EYCanada
 @YamanaGoldInc
 #Magris, 
@TeckResources
, CMHF Member Ross Beaty, 
@FaskenLaw
, 
@NewmontCorp
.
6",,,6
SME,@smecommunity,2020-01-09T15:55:05.000Z,"SME
@smecommunity
·
Jan 9, 2020@NewmontCorp
 announced a new brand to reflect its strong and stable foundation following 2 historic transactions in 2019. The new logo leverages the gold triangle from the previous logo to anchor the strength & stability conveyed by the new logo.

More: http://ow.ly/vXdi50xQF9Z",,,
Minnesota Miners,@MinnesotaMiners,2020-01-09T14:42:22.000Z,"Minnesota Miners
@MinnesotaMiners
·
Jan 9, 2020.
@MTMiningAssoc
 .
@TSRA_MT
 .
@MontanaMinded
 .
@ColstripUnited
 .
@CountonCoalMT
 .
@BlkButteCopper
 .
@Utah_Mining
 @kennecottutah
 .
@azmining
 @resolutioncu
 .
@ColoradoMining
 @NewmontCorp
 .
@nevadamining
 @BarrickNevada .
@IdahoMining
 @MidasIdaho .
@AlaskaMiners
 .
@PTFAlaska
 @MinnesotaMiners
Minnesota Miners
@MinnesotaMiners
·
Jan 9, 2020
.@GovernorBullock This shouldn't even be a topic of discussion if you were doing your job, but here it goes. You and your enviro crusaders have shut down Colstrip Units 1&2. Now you need to do the right thing for once and support .@HeclaMontana and its 1200 jobs. @MinnesotaMiners
8
4",,8,4
Ticker Report,@TickerReport,2020-01-09T13:36:12.000Z,"Ticker Report
@TickerReport
·
Jan 9, 2020Insider Selling: Newmont Goldcorp Corp $NEM EVP Sells 3,500 Shares of Stock http://tickerreport.com/?p=4941344",,,
The Lincolnian,@ThisLincolnian,2020-01-09T13:33:10.000Z,"The Lincolnian
@ThisLincolnian
·
Jan 9, 2020Newmont Goldcorp Corp $NEM EVP Dean Gehring Sells 3,500 Shares of Stock http://thelincolnianonline.com/?p=3342958",,,
Community Financial,@CFinancialNews,2020-01-09T00:16:13.000Z,"Community Financial
@CFinancialNews
·
Jan 9, 2020Newmont Goldcorp Corp $NEM CAO John Kitlen Sells 1,500 Shares http://americanbankingnews.com/?p=12996574 #markets",,,
US Banking News,@AmericanBanking,2020-01-09T00:16:12.000Z,"US Banking News
@AmericanBanking
·
Jan 9, 2020Newmont Goldcorp Corp $NEM CAO John Kitlen Sells 1,500 Shares http://americanbankingnews.com/?p=12996574 #stocks",,,
Watchlist News,@WatchlistN,2020-01-08T23:56:12.000Z,"Watchlist News
@WatchlistN
·
Jan 9, 2020Dean Gehring Sells 3,500 Shares of Newmont Goldcorp Corp $NEM Stock http://zpr.io/tM9e9",,,
Community Financial,@CFinancialNews,2020-01-08T23:55:02.000Z,"Community Financial
@CFinancialNews
·
Jan 9, 2020Dean Gehring Sells 3,500 Shares of Newmont Goldcorp Corp $NEM Stock http://americanbankingnews.com/?p=12996389 #markets",,,
US Banking News,@AmericanBanking,2020-01-08T23:55:01.000Z,"US Banking News
@AmericanBanking
·
Jan 9, 2020Dean Gehring Sells 3,500 Shares of Newmont Goldcorp Corp $NEM Stock http://americanbankingnews.com/?p=12996389 #stocks",,,
The ASIA Miner,@theasiaminer,2020-01-08T23:35:04.000Z,"The ASIA Miner
@theasiaminer
·
Jan 9, 2020#NewmontCorp completes sale of interests in #KCGM and rebrands http://ow.ly/aYKN50xQyLX 
@NewmontCorp",,,
Streetwise Reports,@SWReports,2020-01-08T22:50:04.000Z,"Streetwise Reports
@SWReports
·
Jan 8, 2020Precious Metals Producers Make Progress, But Costs Are a Constant Struggle: http://ow.ly/v8ro50xQnBs

Fund manager Adrian Day reviews recent developments with precious metals producers in his portfolio.

$NEM $AUY $FSM $OR 
@NewmontCorp
 @YamanaGoldInc
 @OsiskoRoyalties",,,
Engineering & Mining Journal,@eminingjournal,2020-01-08T22:30:00.000Z,"Engineering & Mining Journal
@eminingjournal
·
Jan 8, 2020#breakingnews Newmont Goldcorp Rebrands as 
@NewmontCorp
 | E & MJ https://ecs.page.link/3D7wa
2",,2,
Jodie Insights,@jodietheai,2020-01-08T22:20:14.000Z,"Jodie Insights
@jodietheai
·
Jan 8, 2020John Kitlen, VP, Controller & CAO of NEWMONT CORP /DE/ - $NEM decreased their shareholding by 3% to now own a total of 38173 shares

https://jodie.ai/shareholder/1676175…",,,
Jodie Insights,@jodietheai,2020-01-08T22:15:11.000Z,"Jodie Insights
@jodietheai
·
Jan 8, 2020Dean Gehring, EVP & CTO of NEWMONT CORP /DE/ - $NEM decreased their shareholding by 14% to now own a total of 21310 shares

https://jodie.ai/shareholder/1777907…",,,
The Gold Report,@SWGoldReport,2020-01-08T19:55:08.000Z,"The Gold Report
@SWGoldReport
·
Jan 8, 2020Precious Metals Producers Make Progress, But Costs Are a Constant Struggle: http://ow.ly/OgIJ50xQnBq

Fund manager Adrian Day reviews recent developments with precious metals producers in his portfolio.

$NEM $AUY $FSM $OR 
@NewmontCorp
 @YamanaGoldInc
 @OsiskoRoyalties",,,
American Exploration & Mining Association,@MiningAmerica,2020-01-07T18:29:15.000Z,"American Exploration & Mining Association
@MiningAmerica
·
Jan 7, 2020@NewmontCorp
 looks to the next 100 years of superior performance with a refreshed brand. Learn more at https://newmont.com/newsroom/news-details/?newsId=0fa69df8-1e81-4abc-9a60-4e04b4ba13fc…. #Mining #MIningMatters",,,
Revista ProActivo,@proactivoperu,2020-01-07T17:38:01.000Z,"Revista ProActivo
@proactivoperu
·
Jan 7, 2020#Minería 
@NewmontCorp
 | Además de aumentar el dividendo, la Compañía planea continuar ejecutando su programa de recompra de acciones recientemente anunciado por hasta $ 1 mil millones de capital común.
https://proactivo.com.pe/newmont-anuncia-plan-para-aumentar-su-dividendo-anualizado-en-79/…
1",,1,
Revista ProActivo,@proactivoperu,2020-01-07T16:28:00.000Z,"Revista ProActivo
@proactivoperu
·
Jan 7, 2020.
@NewmontCorp
 tiene la cartera más sólida y sostenible de operaciones, proyectos y perspectivas de exploración en el sector del oro
https://proactivo.com.pe/newmont-renueva-su-marca-nombre-y-logotipo-por-sus-100-anos/…
1",,,1
"Bitcoin, Forex & Stock Market Headline News",@BTCTradeIdeas,2020-01-07T13:22:36.000Z,"Bitcoin, Forex & Stock Market Headline News
@BTCTradeIdeas
·
Jan 7, 2020#Investment_strategy #Newmont_Mining_Corp #S_P_500_Index Gold just hit a 6½-year high, and some technical analysts think the rally is far from over http://dlvr.it/RMb1rQ http://bit.ly/2StKgrZ
1",,1,
Mining Review Africa,@MiningReview,2020-01-07T12:38:48.000Z,"Mining Review Africa
@MiningReview
·
Jan 7, 2020@NewmontCorp
 looks ahead to the next 100 years of #gold #mining
miningreview.com
Newmont Corporation looks ahead to the next 100 years of gold mining
NYSE / TSX-listed Newmont has refreshed its brand, name and logo to reflect its strong and stable foundation following two historic gold transactions.",,,
Don Quixote,@EdWellham,2020-01-07T10:16:11.000Z,"Don Quixote
@EdWellham
·
Jan 7, 2020Replying to 
@Bennnnnno
 and 
@NewmontCorp
That was not my argument.

I have done much research into gold. Worked for largest gold company in world.

And in the past worked with the President of the World' s gold association.",,,
Don Quixote,@EdWellham,2020-01-07T09:54:37.000Z,"Don Quixote
@EdWellham
·
Jan 7, 2020Replying to 
@Bennnnnno
 and 
@NewmontCorp
Curious? Are you serious?",,,
mb,@Bennnnnno,2020-01-07T09:53:45.000Z,"mb
@Bennnnnno
·
Jan 7, 2020Replying to 
@EdWellham
 and 
@NewmontCorp
The phone your using at the moment has gold in it.. you need to do a bit of research I think
2",2,,
