User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Asuntos Legales,@asulegalesLR,2021-09-29T15:34:17.000Z,"Asuntos Legales
@asulegalesLR
·
Sep 29, 2021Esto, en el marco de la solicitud de autorización de la integración empresarial entre Glencore Group, BHP Billington y Anglo American PLC, mediante la cual Glencore planea adquirir 100% del capital de las empresas que operan la mina del Cerrejón
asuntoslegales.com.co
Drummond pide que la SIC obligue a Glencore a vender su participación en Fenoco
La solicitud se da en el marco de la autorización de la integración empresarial con la que Glencore compraría 100% del Cerrejón",,,
stock3,@stock3com,2021-09-29T06:37:02.000Z,"stock3
@stock3com
·
Sep 29, 2021Morgan Stanley erhöht Kursziel für Glencore #wirtschaft #börse #finanzen #glencoreplc
stock3.com
stock3: Die Homebase für Ihren Börsenalltag
✓Realtime-Kurse ✓Börsennews ✓Analyse-Tools ✓Charts ✓Trading-Funktionen. In Echtzeit alle Märkte im Blick - via Web und App!",,,
stock3,@stock3com,2021-09-29T06:14:01.000Z,"stock3
@stock3com
·
Sep 29, 2021Liberum erhöht Kursziel für Glencore #wirtschaft #börse #finanzen #glencoreplc https://godmode-trader.de/artikel/liberum-erhoeht-kursziel-fuer-glencore-3,9801897…",,,
stock3,@stock3com,2021-09-29T05:27:02.000Z,"stock3
@stock3com
·
Sep 29, 2021RBC erhöht Kursziel für Glencore #wirtschaft #börse #finanzen #glencoreplc https://godmode-trader.de/artikel/rbc-erhoeht-kursziel-fuer-glencore-7,9801675…",,,
ChartMill,@ChartMill,2021-09-27T08:41:02.000Z,"ChartMill
@ChartMill
·
Sep 27, 2021In the last month $GLEN.L has a been trading in the 305.10 - 342.85 range, which is quite wide. https://chartmill.com/stock/analyzer/stock/GLEN.L?key=1b25205f-6897-4936-b2df-7843103bc7b3&utm_source=twitterEU&utm_medium=TA&utm_content=GLEN.L&utm_campaign=social_tracking… #ChartMill #Glencoreplc #GLEN #LondonStockExchange #TechnicalAnalysis",,,
Stringwall,@StringwallApp,2021-09-24T07:20:26.000Z,"Stringwall
@StringwallApp
·
Sep 24, 2021Replying to 
@StringwallApp
 @Tentoads4truth
 and 47 others
“Other traders such as Glencore Plc and Koch Supply & Trading LP also are building expertise or looking to expand in LNG.”

https://bloomberg.com/professional/blog/commodity-traders-turn-lng-big-oil-profits-prove-elusive/…
1
7
16",1,7,16
Rainforest Foundation Norway (RFN),@RainforestNORW,2021-09-23T15:16:27.000Z,"Rainforest Foundation Norway (RFN)
@RainforestNORW
·
Sep 23, 2021Time to let indigenous territories lie! Look to Vale, 
@Glencoreplc
 @RioTinto
 @brookfield
 asset management #CentauroMetal and #Billinton !
2
5",,2,5
Gastech 2023,@GastechEvent,2021-09-23T11:21:33.000Z,"Gastech 2023
@GastechEvent
·
Sep 23, 2021A glimpse from the last C-Suite Session of Gastech 2021, where executives from 
@bp_plc
, 
@Glencore
, AXPO, 
@GAILIndia
, 
@ENI
 and 
@VitolNews
 discussed the topic of “Gas & LNG Trading in the Post-COVID World”.

#gastech21 #gas #energytransition #hydrogen
3",,,3
stock3,@stock3com,2021-09-22T05:36:02.000Z,"stock3
@stock3com
·
Sep 22, 2021Jefferies senkt Kursziel für Glencore #wirtschaft #börse #finanzen #glencoreplc https://godmode-trader.de/artikel/jefferies-senkt-kursziel-fuer-glencore-12,9784735…",,,
Woye,@woye1,2021-09-21T11:29:03.000Z,"Woye
@woye1
·
Sep 21, 2021BP paid $900,000 in fees to Nigerian Agent after securing two crude oil cargoes from NNPC. The suit involved Glencore PLc who recently pleaded guilty to corruption, wired payments including cash for 2015 election under Sister Ile -ife. Na UK case ooo
16
78
177",16,78,177
malcolm lea,@malcolmlea1,2021-09-21T06:46:25.000Z,"malcolm lea
@malcolmlea1
·
Sep 21, 2021Replying to 
@ajthompson13
long term pick  is Glencore  Plc  wait to drop a bit",,,
ChartMill,@ChartMill,2021-09-18T00:54:03.000Z,"ChartMill
@ChartMill
·
Sep 18, 2021$GLEN.L has an average volume of 8220320. This is a good sign as it is always nice to have a liquid stock. https://chartmill.com/stock/analyzer/stock/GLEN.L?key=1b25205f-6897-4936-b2df-7843103bc7b3&utm_source=twitterEU&utm_medium=TA&utm_content=GLEN.L&utm_campaign=social_tracking… #ChartMill #Glencoreplc #GLEN #LondonStockExchange #TechnicalAnalysis",,,
Andrew Duncan,@andrewsduncan1,2021-09-17T14:34:33.000Z,"Andrew Duncan
@andrewsduncan1
·
Sep 17, 2021Glencore Plc investors set for ‘outsized’ returns thanks to coal - Morgan Stanley. #Glencore #mining
proactiveinvestors.co.uk
Glencore investors set for ‘outsized’ returns thanks to coal - Morgan Stanley
In 2021, in the era of ESG, a bullish view on coal is perhaps as rare as it once would’ve been to see a clean face down the pit....",,,
StockInvest.us,@StockInvestUS,2021-09-16T19:45:03.000Z,"StockInvest.us
@StockInvestUS
·
Sep 16, 2021https://stockinvest.us/l/XGBUrlW65U
Buy @ Glencore International PLC, St. Helier (GLNCY)
stockinvest.us
GLNCY Stock Price Forecast. Should You Buy GLNCY?
Check if GLNCY Stock has a Buy or Sell Evaluation. GLNCY Stock Price (PINK), Forecast, Predictions, Stock Analysis and Glencore International PLC, St. H...",,,
Lester's Lens,@_Lester_Davids,2021-09-16T17:42:40.000Z,"Lester's Lens
@_Lester_Davids
·
Sep 16, 2021Long Glencore, Short Anglos plc in London now running +8% for the week and +10% month-to-date. As mentioned, was basing above 200-day. The monthly chart looks good too. Trying to get inti pairs/market neutral ideas again.
Lester's Lens
@_Lester_Davids
·
Sep 1, 2021
Glencore. R70 been a big supply range since coming to mkt in Nov-2013. Further consolidation/mod pullback expected however if R70 turns from resistance to support then that could establish a base over next few yrs. GLEN also basing relative to AAL in London. Above 200-day.
1
10",,1,10
ChartMill,@ChartMill,2021-09-16T14:37:02.000Z,"ChartMill
@ChartMill
·
Sep 16, 2021$GLEN.L: The long and short term trends are both positive. This is looking good! https://chartmill.com/stock/analyzer/stock/GLEN.L?key=1b25205f-6897-4936-b2df-7843103bc7b3&utm_source=twitterEU&utm_medium=TA&utm_content=GLEN.L&utm_campaign=social_tracking… #ChartMill #Glencoreplc #GLEN #LondonStockExchange #TechnicalAnalysis",,,
Renewable-Energy-Market.com - Social-Trading,@contritrade,2021-09-16T13:51:30.000Z,"Renewable-Energy-Market.com - Social-Trading
@contritrade
·
Sep 16, 2021Mein #wikifolio http://renewable-energy-market.com hat sich soeben von SIEMENS GAMESA und GLENCORE PLC getrennt. Ich habe die #Lithium Positionen leicht ausgebaut. Im speziellen $LTHM Livent Corp
1",,,1
ArabianBusiness.com,@ArabianBusiness,2021-09-16T11:01:00.000Z,"ArabianBusiness.com
@ArabianBusiness
·
Sep 16, 2021Abu Dhabi-backed 
@Mubadala
 is buying into a Swiss online metals-trading platform set up by two former Glencore Plc traders.

The #UAE wealth fund is the lead investor in a $33 million funding round.

More here:
arabianbusiness.com
Abu Dhabi fund invests in Swiss online metals-trading platform - Arabian Business
Mubadala Investment Co. is the lead investor in a $33m funding round, Zug, Switzerland-based Open Mineral AG said in a statement Abu Dhabi fund invests in Swiss online metals-trading platform...
1",,,1
Colossus Diplomacy,@ColossusDiplo,2021-09-16T08:22:02.000Z,"Colossus Diplomacy
@ColossusDiplo
·
Sep 16, 2021Abu Dhabi-backed Mubadala Investment Co. is buying into a Swiss online metals-trading platform set up by two former Glencore Plc traders.
bloomberg.com
Abu Dhabi Fund Invests in Swiss Online Metals-Trading Platform
Abu Dhabi-backed Mubadala Investment Co. is buying into a Swiss online metals-trading platform set up by two former Glencore Plc traders.
1",,,1
OWOPETU ABIOLA #Oworock,@Oworock,2021-09-14T20:23:40.000Z,"OWOPETU ABIOLA #Oworock
@Oworock
·
Sep 14, 2021Corrupt Oil Trader Exposes Nigeria’s Ex-Minister, Diezani For Receiving Multi-million Dollar Bribery Payments
When Anthony Stimler left Glencore Plc in August 2019, he had two big secrets: For 12 years, he’d paid millions i ... 
Dove Blog Nig ...",,,
"Adetutu Balogun, MBA",@Tutsy22,2021-09-14T18:19:21.000Z,"Adetutu Balogun, MBA
@Tutsy22
·
Sep 14, 2021Corrupt Oil Trader exposes Diezani for receiving million of Dollars in bribery payments.

When Anthony Stimler left Glencore Plc in August 2019, he had two big secrets: For 12 years, he’d paid millions in bribes to Nigerian and other African officials with their intermediaries.
4
28
31",4,28,31
The AACI,@TheAACI,2021-09-14T12:34:38.000Z,"The AACI
@TheAACI
·
Sep 14, 2021""When Anthony Stimler left Glencore Plc in August 2019, he had two big secrets: For a dozen years, he’d paid millions in bribes to African officials and intermediaries. And he was now helping a U.S. Justic.....""

https://finance.yahoo.com/news/corrupt-oil-trader-turns-colleagues-040122726.html…",,,
ChartMill,@ChartMill,2021-09-14T12:14:03.000Z,"ChartMill
@ChartMill
·
Sep 14, 2021$GLEN.L has an average volume of 7798930. This is a good sign as it is always nice to have a liquid stock. https://chartmill.com/stock/analyzer/stock/GLEN.L?key=1b25205f-6897-4936-b2df-7843103bc7b3&utm_source=twitterEU&utm_medium=TA&utm_content=GLEN.L&utm_campaign=social_tracking… #ChartMill #Glencoreplc #GLEN #LondonStockExchange #TechnicalAnalysis",,,
