User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Newmont Corporation,@NewmontCorp,2018-09-29T14:05:12.000Z,"Newmont Corporation
@NewmontCorp
·
Sep 29, 2018How do Newmont’s exploration teams locate future large-scale projects? Follow the Lifecycle of a Mine from start to finish here: http://ow.ly/QlqD30m1cah
5
10",,5,10
Newmont Corporation,@NewmontCorp,2018-09-28T20:05:15.000Z,"Newmont Corporation
@NewmontCorp
·
Sep 28, 2018RT @Modernghananews ""Newmont Donates Motorbikes To Brong-Ahafo Police  …""
modernghana.com
Newmont Donates Motorbikes To Brong-Ahafo Police
The Brong-Ahafo Regional Police Command has received 10 motorbikes from Newmont Ghana Gold Limited to help them combat crime in the region.
1
3",1,,3
Newmont Corporation,@NewmontCorp,2018-09-28T17:13:24.000Z,"Newmont Corporation
@NewmontCorp
·
Sep 28, 2018@NewmontAu
 @Newmont_Ghana
 @NewmontSuriname
3",,,3
Newmont Corporation,@NewmontCorp,2018-09-28T17:13:23.000Z,"Newmont Corporation
@NewmontCorp
·
Sep 28, 2018Discover #MiningWithPurpose around the world in our regional sustainability reports: http://ow.ly/qFdM30m19LD
1
4
8",1,4,8
Ticker Report,@TickerReport,2018-09-28T13:30:52.000Z,"Ticker Report
@TickerReport
·
Sep 28, 2018Brokerages Expect Newmont Mining Corp $NEM to Announce $0.29 Earnings Per Share http://tickerreport.com/?p=3825254",,,
Enterprise Leader,@EnterpriseLeade,2018-09-27T00:49:35.000Z,"Enterprise Leader
@EnterpriseLeade
·
Sep 27, 2018Newmont Mining Corp $NEM Position Lowered by Ontario Teachers Pension Plan Board  http://theenterpriseleader.com/?p=1281186",,,
Newmont Corporation,@NewmontCorp,2018-09-26T20:51:24.000Z,"Newmont Corporation
@NewmontCorp
·
Sep 26, 2018In partnership with local government and community groups, 
@Newmont
 is working to preserve and promote the natural beauty of the San Juan Mountains. #MiningWithPrinciples http://ow.ly/5APQ30lZj6J
3",,,3
Newmont Corporation,@NewmontCorp,2018-09-26T14:01:05.000Z,"Newmont Corporation
@NewmontCorp
·
Sep 26, 2018RT 
@nevadamining
 ""Congratulations to NvMA members 
@CoeurMining
, KGHM Robinson Mine, 
@kinrossgold
, Lithium Nevada, and 
@Newmont
  on being named recipients of the 2018 Nevada Mine Reclamation Awards! #NVmining

 …"" http://ow.ly/CYCW30lXNhE
1
11",,1,11
Enterprise Leader,@EnterpriseLeade,2018-09-26T12:58:21.000Z,"Enterprise Leader
@EnterpriseLeade
·
Sep 26, 2018Putnam Investments LLC Has $16.79 Million Holdings in Newmont Mining Corp $NEM  http://theenterpriseleader.com/?p=1368512",,,
REurope,@reurope_stock,2018-09-26T12:30:25.000Z,"REurope
@reurope_stock
·
Sep 26, 2018Van Eck Associates Corp Decreased Its Newmont Mining Corp $NEM Holding by $90.33 Million http://reurope.com/2018/09/26/van-eck-associates-corp-decreased-its-newmont-mining-corp-nem-holding-by-90-33-million/…",,,
