User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
EquityMarketPredictor,@GoldmanSachBOT,2021-10-24T23:20:45.000Z,"EquityMarketPredictor
@GoldmanSachBOT
·
Oct 25, 2021Exxon Mobil Corp. (XOM) surprised the market with Q1 result. Deutsche bank changed the rating to Hold, as Exxon Mobil Corp. (XOM)  reflects limited EPS from core operations.",,,
EquityMarketPredictor,@GoldmanSachBOT,2021-10-24T22:40:45.000Z,"EquityMarketPredictor
@GoldmanSachBOT
·
Oct 25, 2021Exxon Mobil Corp. (XOM) surprised the market with Q4 result. Credit Suisse changed the rating to Sell, as Exxon Mobil Corp. (XOM) current year earnings has been revised 20% downward.",,,
EquityMarketPredictor,@GoldmanSachBOT,2021-10-24T21:40:44.000Z,"EquityMarketPredictor
@GoldmanSachBOT
·
Oct 24, 2021Exxon Mobil Corp. (XOM) surprised the market with Q1 result. Morgan Stanley changed the rating to Hold, as Exxon Mobil Corp. (XOM) has negative EPS revisions (down 3%) and not enough upside to warrant a Buy rating.",,,
EquityMarketPredictor,@GoldmanSachBOT,2021-10-24T19:00:47.000Z,"EquityMarketPredictor
@GoldmanSachBOT
·
Oct 24, 2021Exxon Mobil Corp. (XOM) surprised the market with Q2 result.  J.P. Morgan Chase changed the rating to Hold, as Exxon Mobil Corp. (XOM) has negative EPS revisions (down 3%) and not enough upside to warrant a Buy rating.",,,
EquityMarketPredictor,@GoldmanSachBOT,2021-10-24T10:21:24.000Z,"EquityMarketPredictor
@GoldmanSachBOT
·
Oct 24, 2021Exxon Mobil Corp. (XOM) surprised the market with Q3 result. Credit Suisse changed the rating to Underperform, as Exxon Mobil Corp. (XOM) is trading at over 80 times its book value with a trailing PE of over 40.",,,
gracechurch64,@gracechurch64,2021-10-24T09:14:28.000Z,"gracechurch64
@gracechurch64
·
Oct 24, 2021Replying to 
@exxonmobil
What?!!  You haven't done enough to destroy the planet yet?  You haven't lied enough? Bribed enough politicians? Paid off fringe scientists to promote your agenda?  Now you're pretending you're the good guy? Your  corp. officers and board members should be in jail.
1
2",,1,2
EquityMarketPredictor,@GoldmanSachBOT,2021-10-24T08:01:21.000Z,"EquityMarketPredictor
@GoldmanSachBOT
·
Oct 24, 2021Exxon Mobil Corp. (XOM) surprised the market with Q3 result. Deutsche bank changed the rating to Buy, as Exxon Mobil Corp. (XOM)  seems stronger than that of its USA sector peers.",,,
EquityMarketPredictor,@GoldmanSachBOT,2021-10-24T04:20:48.000Z,"EquityMarketPredictor
@GoldmanSachBOT
·
Oct 24, 2021Exxon Mobil Corp. (XOM) surprised the market with Q1 result. Morgan Stanley changed the rating to Underperform, as Exxon Mobil Corp. (XOM) is trading at over 80 times its book value with a trailing PE of over 40.",,,
EquityMarketPredictor,@GoldmanSachBOT,2021-10-24T03:40:52.000Z,"EquityMarketPredictor
@GoldmanSachBOT
·
Oct 24, 2021Exxon Mobil Corp. (XOM) surprised the market with Q2 result.  J.P. Morgan Chase changed the rating to Hold, as Exxon Mobil Corp. (XOM)  reflects limited EPS from core operations.",,,
Muriel McCormack,@MurielMccormack,2021-10-24T00:38:11.000Z,"Muriel McCormack
@MurielMccormack
·
Oct 24, 2021Koch, ExxonMobil, News Corp
2",,,2
EquityMarketPredictor,@GoldmanSachBOT,2021-10-23T21:30:50.000Z,"EquityMarketPredictor
@GoldmanSachBOT
·
Oct 23, 2021Exxon Mobil Corp. (XOM) surprised the market with Q4 result. Morgan Stanley changed the rating to Underperform, as Exxon Mobil Corp. (XOM) is trading at over 80 times its book value with a trailing PE of over 40.",,,
Harsh Gupta Madhusudan,@harshmadhusudan,2021-10-23T12:05:33.000Z,"Harsh Gupta Madhusudan
@harshmadhusudan
·
Oct 23, 2021Global oil major ExxonMobil Corp is looking at buying a stake in some of the local deepwater fields of Indian explorer Oil and Natural Gas Corp, oil secretary Tarun Kapoor said on Friday.
financialexpress.com
Exxon looks to buy stake in ONGC’s deep sea fields: Report
India, the world's third biggest oil importer and consumer, ships in about 85% of its oil needs from overseas and has been scouting for partnerships with global oil majors.
9
19",,9,19
ET HRWorld,@ETHrWorld,2021-10-23T09:29:01.000Z,"ET HRWorld
@ETHrWorld
·
Oct 23, 2021.
@exxonmobil
 Corp plans to close two Houston-area office towers to consolidate staff in its main campus as it cuts costs following staff departures, the company said on Friday.

#office #industry #staff
hr.economictimes.indiatimes.com
Exxon to close two Houston-area office towers after staff departures, HR News, ETHRWorld
Remaining workers at the two office buildings known as Hughes Landing, in The Woodlands (TX), will be relocated to the company's main Houston-area campus, Exxon spokesperson Casey Norton said....",,,
EquityMarketPredictor,@GoldmanSachBOT,2021-10-23T07:50:50.000Z,"EquityMarketPredictor
@GoldmanSachBOT
·
Oct 23, 2021Exxon Mobil Corp. (XOM) surprised the market with Q4 result. Morgan Stanley changed the rating to Sell, as Exxon Mobil Corp. (XOM) current year earnings has been revised 20% downward.",,,
Shalini Bajpai,@sbajpai2811,2021-10-23T06:53:33.000Z,"Shalini Bajpai
@sbajpai2811
·
Oct 23, 2021Global oil major ExxonMobil Corp is likely to invest in the some of the local deep water fields of state-owned Oil & Natural Gas Corporation

The oil major is in talks for investment in the deep water fields around the Andaman islands in India's east coast
swarajyamag.com
Global Oil Major Exxon In Talks To Buy Stake In ONGC's Deep Sea Fields In India: Report
India is looking for partnerships with global oil majors to quickly monetise its reserves.
1
1",,1,1
Stock INFOMANIA,@stock_infomania,2021-10-23T06:18:43.000Z,"Stock INFOMANIA
@stock_infomania
·
Oct 23, 2021ONGC

Global Oil Major ExxonMobil Corp Is Looking To Buy Stake in some of local Deep water fields of Indian Explorer ONGC says Oil Secretary

#ONGC #nse #Ioc #sharemarket #Sharemarketnews
2",,,2
EquityMarketPredictor,@GoldmanSachBOT,2021-10-23T05:00:48.000Z,"EquityMarketPredictor
@GoldmanSachBOT
·
Oct 23, 2021Exxon Mobil Corp. (XOM) surprised the market with Q2 result.  J.P. Morgan Chase changed the rating to Outperform, as Exxon Mobil Corp. (XOM) reported a net revenue that soared 7%.",,,
